num_year,num_semana,primer_dia_semana,poligono_departamento,Solicitudes,Viajes_finalizados,GMV,Ticket_Promedio,promedio_eta_segundos,distancia_pickup_promedio_mts,Viajes_cancelados,NODRIVERACCEPTED,NODRIVERFOUND,GMV_Tarjeta,Viajes_finalizados_Tarjeta_ueno,GMV_Tarjeta_ueno,Conductores,Conductores_c_Viaje,conductores_nuevos,conductores_recurrentes,Ganancias_conductor,Pasajeros,Pasajeros_c_Viaje,pasajeros_nuevos,pasajeros_recurrentes,Solicitudes_B2C,Viajes_finalizados_B2C,GMV_B2C,Ticket_Promedio_B2C,Solicitudes_B2B,Viajes_finalizados_B2B,GMV_B2B,Ticket_Promedio_B2B,Solicitudes_B2B_sReservas,Viajes_finalizados_B2B_sReservas,GMV_B2B_sReservas,Ticket_Promedio_B2B_sReservas
2026,27,2026-06-29,ITAPUA,8891,5025,85330930,16981,187,1147,3350,62,454,22275000,2127,18885100,749,679,7,672,77005120,2597,2171,22,2149,8881,5019,85225500,16981,10,6,105430,17572,10,6,105430,17572
2026,26,2026-06-22,CENTRAL,7043,3267,141480902,43306,367,2007,2408,280,1087,38928100,3774,37452700,662,508,22,486,112366570,2100,1329,41,1288,4864,1722,42183400,24497,2179,1545,99297502,64270,2128,1494,81178192,54336
2026,26,2026-06-22,ITAPUA,8769,4984,85083990,17071,171,1036,2983,53,749,22124000,2017,18978100,781,733,13,720,76628200,2548,2140,33,2107,8757,4974,84919800,17073,12,10,164190,16419,12,10,164190,16419
2026,25,2026-06-15,CENTRAL,10261,3907,183002890,46840,363,2023,3314,434,2606,48696300,5494,47937000,747,595,28,567,143104502,2758,1572,44,1528,7766,2151,54337800,25262,2495,1756,128665090,73272,2435,1696,98138900,57865
2026,25,2026-06-15,ITAPUA,9940,5827,98866660,16967,168,1029,3245,60,808,28300000,2423,24235600,806,747,14,733,89068360,2987,2493,30,2463,9931,5822,98712800,16955,9,5,153860,30772,9,5,153860,30772
2026,24,2026-06-08,CENTRAL,12463,3796,161601423,42572,395,2166,3642,624,4401,49534400,6651,48440300,733,587,29,558,131107162,3208,1667,63,1604,9597,2085,56509900,27103,2866,1711,105091523,61421,2804,1649,85382553,51778
2026,24,2026-06-08,ITAPUA,10927,6089,103895120,17063,179,1101,3488,87,1263,29154200,2540,24600300,829,775,20,755,93621230,3195,2652,47,2605,10913,6079,103673800,17054,14,10,221320,22132,14,10,221320,22132
2026,23,2026-06-01,CENTRAL,14016,4487,199937949,44559,395,2195,4775,704,4050,63351600,7740,62415200,728,588,23,565,163704796,3605,1936,83,1853,10625,2619,70937800,27086,3391,1868,129000149,69058,3331,1808,99511049,55039
2026,23,2026-06-01,ITAPUA,10556,6583,111011340,16863,162,975,3551,37,385,34594800,2827,29501100,816,759,16,743,100201820,3102,2671,35,2636,10547,6575,110836000,16857,9,8,175340,21918,9,8,175340,21918
2026,22,2026-05-25,CENTRAL,10771,3935,205320645,52178,387,2133,3898,481,2457,54311300,6130,53349700,782,632,24,608,165510312,3106,1783,67,1716,8032,2375,61231200,25782,2739,1560,144089445,92365,2677,1498,98732265,65909
2026,22,2026-05-25,ITAPUA,11147,7127,120596900,16921,152,886,3779,24,216,36831800,2810,30691600,842,801,11,790,108757510,3309,2895,50,2845,11134,7118,120305100,16902,13,9,291800,32422,13,9,291800,32422
2026,21,2026-05-18,CENTRAL,10933,5362,211921903,39523,355,1942,4060,324,1187,66747400,6100,64487000,976,771,30,741,174482419,3195,2232,80,2152,7989,3372,77850100,23087,2944,1990,134071803,67373,2877,1923,90072083,46839
2026,21,2026-05-18,ITAPUA,11250,7278,123169300,16924,154,901,3772,20,180,35765800,2878,30864700,872,821,14,807,111757820,3271,2887,39,2848,11233,7264,122837100,16910,17,14,332200,23729,17,14,332200,23729
2026,20,2026-05-11,CENTRAL,17485,5549,245438976,44231,389,2141,4896,556,6484,69283100,9011,67080700,907,711,19,692,200730904,4708,2952,136,2816,14688,4212,93993200,22316,2797,1337,151445776,113273,2740,1281,79150566,61788
2026,20,2026-05-11,ITAPUA,12191,7224,122661890,16980,187,1123,4253,38,676,33027700,2780,27210700,863,814,6,808,114154010,3734,3227,52,3175,12178,7215,122469400,16974,13,9,192490,21388,13,9,192490,21388
2026,19,2026-05-04,CENTRAL,21016,8258,262175189,31748,390,2160,6468,630,5660,107690100,11155,104034100,924,754,26,728,223408094,5519,3805,209,3596,17376,6252,142522800,22796,3640,2006,119652389,59647,3581,1947,97811739,50237
2026,19,2026-05-04,ITAPUA,13729,8293,136768560,16492,170,1013,4570,52,814,42706400,3528,35575500,851,805,18,787,127880120,3914,3401,57,3344,13710,8283,136452600,16474,19,10,315960,31596,19,10,315960,31596
2026,18,2026-04-27,CENTRAL,18836,7329,250390751,34164,356,1995,5484,548,5475,96578700,10197,93742200,967,786,27,759,218517398,5466,3685,181,3504,16552,5700,129549400,22728,2284,1629,120841351,74181,2228,1573,78698881,50031
2026,18,2026-04-27,ITAPUA,12164,7472,122002540,16328,172,1031,4255,32,405,34676000,2956,28953100,879,827,9,818,117747760,3774,3296,50,3246,12148,7459,121800100,16329,16,13,202440,15572,16,13,202440,15572
2026,17,2026-04-20,CENTRAL,17612,8582,251688235,29327,341,1881,5452,470,3108,103187100,9298,99912000,1049,852,36,816,233999809,5160,3867,209,3658,14597,6520,139777100,21438,3015,2062,111911135,54273,2953,2000,89032855,44516
2026,17,2026-04-20,ITAPUA,12542,7917,127499610,16105,158,934,4428,20,177,37570700,3175,32249200,927,881,12,869,122750720,3936,3420,42,3378,12530,7909,127339000,16101,12,8,160610,20076,12,8,160610,20076
2026,16,2026-04-13,CENTRAL,19095,7293,238258870,32670,363,2017,5400,588,5814,100774200,10365,99070300,998,802,33,769,213944160,4954,3345,193,3152,15910,5592,124982800,22350,3185,1701,113276070,66594,3128,1644,92725460,56402
2026,16,2026-04-13,ITAPUA,11797,8074,136449630,16900,142,817,3459,14,250,41727700,3049,35890900,977,894,14,880,126475490,3820,3400,59,3341,11779,8060,136173900,16895,18,14,275730,19695,18,14,275730,19695
2026,15,2026-04-06,CENTRAL,19845,7998,292745279,36602,372,2071,6154,659,5034,107282200,11196,105003500,1032,836,56,780,263862428,5182,3543,243,3300,16961,6077,135405800,22282,2884,1921,157339479,81905,2810,1848,99493229,53838
2026,15,2026-04-06,ITAPUA,13626,9067,155556140,17156,155,904,4184,24,351,46632400,3382,39278200,997,944,22,922,141899960,4220,3714,73,3641,13622,9064,155482000,17154,4,3,74140,24713,4,3,74140,24713
2026,14,2026-03-30,CENTRAL,11406,4329,144987302,33492,361,2088,3414,433,3230,62274100,6553,61302340,764,616,18,598,131682628,3709,2388,163,2225,10053,3419,80081900,23423,1353,910,64905402,71325,1320,877,53183402,60642
2026,14,2026-03-30,ITAPUA,11247,7396,126943140,17164,159,932,3388,22,441,31793300,2460,26783300,937,884,15,869,122372810,3823,3361,72,3289,11241,7392,126752400,17147,6,4,190740,47685,6,4,190740,47685
2026,13,2026-03-23,CENTRAL,21402,8923,273942221,30701,356,1982,5820,551,6108,111598500,10853,109016700,975,794,31,763,248314940,5892,4201,333,3868,18309,6904,155565700,22533,3093,2019,118376521,58631,3025,1959,97389721,49714
2026,13,2026-03-23,ITAPUA,15567,10898,168496050,15461,144,819,4514,13,142,43804700,3642,37565900,1055,1000,18,982,178096000,4537,4155,82,4073,15549,10882,168205300,15457,18,16,290750,18172,18,16,290750,18172
2026,12,2026-03-16,CENTRAL,28420,8212,563032560,68562,382,2120,6213,846,13149,105195000,14401,102590200,909,730,36,694,445930899,6374,3982,298,3684,25096,6311,144312100,22867,3324,1901,418720460,220263,3232,1811,117708830,64997
2026,12,2026-03-16,ITAPUA,16520,10362,157655250,15215,149,871,4618,50,1490,42972200,3715,37646700,1056,992,25,967,167290700,4625,4053,98,3955,16514,10357,157567700,15214,6,5,87550,17510,6,5,87550,17510
2026,11,2026-03-09,CENTRAL,20710,8460,293253972,34664,349,1959,5252,454,6544,106288900,11125,104461400,925,735,30,705,257272609,5463,3834,231,3603,17686,6413,138001300,21519,3024,2047,155252672,75844,2930,1970,97607862,49547
2026,11,2026-03-09,ITAPUA,14931,10512,170921670,16260,147,845,4222,21,176,48067600,3622,41435300,1048,996,23,973,171068400,4448,4014,105,3909,14914,10501,170711900,16257,17,11,209770,19070,17,11,209770,19070
2026,10,2026-03-02,CENTRAL,26817,6762,222486310,32902,412,2315,6641,1144,12270,99973400,14592,98402300,864,702,33,669,203499595,6295,3596,282,3314,24039,5461,130144900,23832,2778,1301,92341410,70977,2550,1076,44795184,41631
2026,10,2026-03-02,ITAPUA,15727,10323,171662910,16629,157,907,4883,29,492,43792700,3496,38613600,1066,1011,31,980,171790650,4499,3959,91,3868,15710,10312,171274500,16609,17,11,388410,35310,17,11,388410,35310
2026,9,2026-02-23,CENTRAL,22568,7198,211011211,29315,382,2138,6149,810,8411,96017000,12296,93967500,920,717,31,686,194936135,5828,3626,241,3385,19613,5493,126402900,23012,2955,1705,84608311,49624,2712,1466,49996651,34104
2026,9,2026-02-23,ITAPUA,16016,10565,172499150,16327,161,941,4975,27,449,45136100,3599,38848700,1072,1012,27,985,172708200,4555,3945,95,3850,16007,10559,172384200,16326,9,6,114950,19158,9,6,114950,19158
2026,8,2026-02-16,CENTRAL,21707,6343,221262574,34883,396,2254,5950,797,8617,93934100,12627,92960500,887,714,26,688,186456320,5361,3165,251,2914,18484,4857,114558700,23586,3223,1486,106703874,71806,2947,1214,44564171,36709
2026,8,2026-02-16,ITAPUA,16657,11311,187957230,16617,166,968,5106,30,210,46787800,3621,39434900,1037,985,21,964,188013500,4732,4218,120,4098,16649,11303,187840400,16619,8,8,116830,14604,8,8,116830,14604
2026,7,2026-02-09,CENTRAL,25768,6786,258156049,38042,398,2257,6908,1004,11070,100238300,14748,98530300,968,789,44,745,222510008,5958,3451,250,3201,22093,5212,123185800,23635,3675,1574,134970249,85750,3369,1274,61018196,47895
2026,7,2026-02-09,ITAPUA,19578,12724,213141330,16751,174,1032,6015,42,797,55490400,4293,46908700,1086,1034,30,1004,213950000,5347,4663,137,4526,19551,12703,212553000,16733,27,21,588330,28016,27,21,588330,28016
2026,6,2026-02-02,CENTRAL,23837,6944,244118326,35155,393,2234,6636,886,9360,102464500,14484,100815700,1024,817,49,768,207617480,5659,3347,230,3117,20821,5298,123119800,23239,3016,1646,120998526,73511,2691,1326,48928505,36899
2026,6,2026-02-02,ITAPUA,19994,12783,214744770,16799,178,1068,6174,61,953,50433700,3782,41633400,1090,1035,33,1002,215040900,5532,4819,152,4667,19981,12772,214384000,16785,13,11,360770,32797,13,11,360770,32797
2026,5,2026-01-26,CENTRAL,18991,7311,236156185,32301,360,2039,5620,590,5470,88001600,10463,86722500,1086,875,31,844,203026891,5279,3455,173,3282,16057,5755,120673100,20968,2934,1556,115483085,74218,2658,1281,47013433,36701
2026,5,2026-01-26,ITAPUA,22924,12628,214048000,16950,193,1177,6329,107,3860,46824900,3930,39120300,1084,1038,22,1016,214205400,5779,4787,131,4656,22914,12620,213858600,16946,10,8,189400,23675,10,8,189400,23675
2026,4,2026-01-19,CENTRAL,14610,8093,257612551,31832,311,1761,4385,270,1862,94509400,8337,92745800,1180,959,50,909,230959400,4737,3580,206,3374,12647,6655,132749400,19947,1963,1438,124863151,86831,1665,1148,46971150,40916
2026,4,2026-01-19,ITAPUA,20061,13778,231563060,16807,166,972,5624,46,613,46997700,3477,38639200,1126,1087,23,1064,231652200,5538,4933,155,4778,20032,13754,231149900,16806,29,24,413160,17215,29,24,413160,17215
2026,3,2026-01-12,CENTRAL,15654,8757,267552727,30553,321,1806,4785,329,1783,102294800,8649,100215600,1180,967,50,917,233514462,5242,4021,218,3803,13504,7224,146365000,20261,2150,1533,121187727,79053,1874,1259,65840806,52296
2026,3,2026-01-12,ITAPUA,19726,13563,227890670,16802,166,972,5432,34,697,48090800,3575,39836600,1130,1085,39,1046,227861600,5606,5043,143,4900,19696,13539,227126000,16776,30,24,764670,31861,29,23,374670,16290
2026,2,2026-01-05,CENTRAL,19431,7934,252492050,31824,349,1967,5654,502,5341,98848600,9715,96798000,1156,941,47,894,212566585,5478,3708,288,3420,17219,6504,138769400,21336,2212,1430,113722650,79526,1988,1212,64272880,53030
2026,2,2026-01-05,ITAPUA,17792,12652,211732790,16735,165,956,4667,40,432,43727000,3021,35088000,1093,1065,20,1045,211696600,5207,4680,148,4532,17779,12642,211327800,16716,13,10,404990,40499,13,10,404990,40499
2026,1,2025-12-29,CENTRAL,10210,2729,75698688,27739,331,1963,2003,361,5117,28672800,4282,28126600,647,511,15,496,69196963,3278,1698,146,1552,9735,2423,53926900,22256,475,306,21771788,71150,415,247,9626388,38973
2026,1,2025-12-29,ITAPUA,31404,7301,132722060,18179,250,1623,5223,441,18439,21893300,2849,17756000,903,849,20,829,132723700,5282,3736,145,3591,31401,7298,132685100,18181,3,3,36960,12320,3,3,36960,12320
2025,52,2025-12-22,CENTRAL,43171,5464,246098320,45040,416,2324,7367,1762,28578,60091100,17282,58738600,1075,782,36,746,166416870,8226,3303,365,2938,40305,4711,111667500,23704,2866,753,134430820,178527,2640,528,36793902,69685
2025,52,2025-12-22,ITAPUA,29856,16449,287727350,17492,214,1309,8268,196,4943,45064800,3649,35975700,1122,1079,19,1060,287735500,7095,6149,209,5940,29849,16448,287706500,17492,7,1,20850,20850,7,1,20850,20850
2025,51,2025-12-15,CENTRAL,89909,11495,432143148,37594,401,2236,15261,3044,60109,102284000,37826,96934500,1575,1222,81,1141,302339814,12289,5276,587,4689,83916,9953,206874600,20785,5993,1542,225268548,146089,5654,1211,68234249,56345
2025,51,2025-12-15,ITAPUA,27167,18301,311214560,17005,188,1122,7700,63,1103,63476500,4209,49184200,1129,1087,32,1055,311206200,7149,6421,198,6223,27156,18294,311122600,17007,11,7,91960,13137,11,7,91960,13137
2025,50,2025-12-08,CENTRAL,42545,11376,289538739,25452,364,2060,11260,1525,18384,85162200,19054,83537500,1560,1196,73,1123,254832078,8771,4735,320,4415,39081,10018,184390300,18406,3464,1358,105148439,77429,3196,1093,62772539,57431
2025,50,2025-12-08,ITAPUA,28388,17571,296785670,16891,177,1061,7822,128,2867,59704700,4533,48282700,1148,1110,22,1088,296769400,7262,6389,191,6198,28381,17565,296606700,16886,7,6,178970,29828,7,6,178970,29828
2025,49,2025-12-01,CENTRAL,63107,16131,655446874,40633,358,2034,15255,1965,29756,117396400,28492,114154900,1715,1339,66,1273,361727923,10758,5859,449,5410,58360,14464,261636800,18089,4747,1667,393810074,236239,4441,1378,78672404,57092
2025,49,2025-12-01,ITAPUA,28924,19561,328804520,16809,178,1071,8416,81,866,66338800,4607,53224900,1163,1125,41,1084,328779400,7490,6706,188,6518,28908,19551,328418200,16798,16,10,386320,38632,16,10,386320,38632
2025,48,2025-11-24,CENTRAL,58393,20301,494046306,24336,322,1812,13882,1574,22636,107351300,20725,104008700,1793,1434,86,1348,429297206,10861,6176,453,5723,54186,18348,313082400,17064,4207,1953,180963906,92659,3807,1565,80371805,51356
2025,48,2025-11-24,ITAPUA,28272,19485,321615840,16506,168,994,7873,85,828,59374800,4046,47847700,1168,1135,24,1111,321599000,7479,6784,206,6578,28255,19474,321430600,16506,17,11,185240,16840,17,11,185240,16840
2025,47,2025-11-17,CENTRAL,40785,23236,498614787,21459,308,1729,13775,1094,2679,135224900,14553,131076700,2042,1677,123,1554,465468212,9369,6684,515,6169,37660,21322,363575300,17052,3125,1914,135039487,70554,2803,1599,81893387,51215
2025,47,2025-11-17,ITAPUA,28874,20673,339720000,16433,155,886,7804,46,350,64528100,4356,50654300,1209,1179,28,1151,339728700,7763,7128,209,6919,28860,20664,339573700,16433,14,9,146300,16256,14,9,146300,16256
2025,46,2025-11-10,CENTRAL,49140,27475,636543131,23168,324,1816,17260,1209,3196,161915800,17173,156723600,2347,1946,161,1785,625447149,11006,8121,693,7428,46257,25565,498700500,19507,2883,1910,137842631,72169,2552,1588,76347431,48078
2025,46,2025-11-10,ITAPUA,31990,22693,371941830,16390,170,951,8555,56,686,69778500,4897,55949800,1225,1202,48,1154,371930100,8334,7671,215,7456,31979,22683,371680800,16386,11,10,261030,26103,11,10,261030,26103
2025,45,2025-11-03,CENTRAL,60457,31498,918991698,29176,374,2185,22965,774,5219,171738600,21493,165213200,2528,2096,150,1946,1057058567,11844,8927,849,8078,57264,29576,805878000,27248,3193,1922,113113698,58852,2857,1601,73247498,45751
2025,45,2025-11-03,ITAPUA,36992,26456,402810910,15226,185,1090,10140,53,343,69180900,5253,55527300,1195,1169,39,1130,437301920,9059,8420,321,8099,36972,26442,402479300,15221,20,14,331610,23686,20,14,331610,23686
2025,44,2025-10-27,CENTRAL,53128,27118,819846780,30233,353,2062,19672,792,5546,159555900,17493,152637300,2449,1995,186,1809,892481109,11364,8529,954,7575,50009,25122,668607843,26614,3119,1996,151238937,75771,2797,1686,75412606,44729
2025,44,2025-10-27,ITAPUA,37435,26567,407904580,15354,184,1085,10462,53,353,70228900,4765,55697300,1207,1179,30,1149,448655790,9232,8534,390,8144,37420,26558,407776100,15354,15,9,128480,14276,15,9,128480,14276
2025,43,2025-10-20,CENTRAL,37127,23941,587318848,24532,301,1713,12383,289,513,150199000,12845,144150400,2406,2005,167,1838,642349785,9800,8046,822,7224,34313,21918,450548850,20556,2814,2023,136769998,67608,2557,1773,82498277,46530
2025,43,2025-10-20,ITAPUA,36653,25820,397430910,15392,182,1062,9729,97,1007,60489600,4730,48805200,1194,1165,45,1120,437202850,9019,8364,362,8002,36636,25805,397166300,15391,17,15,264610,17641,17,15,264610,17641
2025,42,2025-10-13,CENTRAL,40124,21578,613139672,28415,312,1737,14398,1338,2810,164349300,16384,158655100,2444,2053,140,1913,670631955,10082,7931,834,7097,37018,19558,465073100,23779,3106,2020,148066572,73300,2764,1699,82103671,48325
2025,42,2025-10-13,ITAPUA,39379,25830,394620170,15278,198,1172,9935,372,3242,61905700,5147,50981300,1156,1133,32,1101,434023230,9331,8510,418,8092,39357,25815,394345500,15276,22,15,274670,18311,22,15,274670,18311
2025,41,2025-10-06,CENTRAL,42745,22659,708060572,31249,314,1732,14335,1267,4483,188216800,18462,182513300,2513,2117,196,1921,793009512,10757,8430,915,7515,39547,20434,572228000,28004,3198,2225,135832572,61048,2893,1932,79835221,41323
2025,41,2025-10-06,ITAPUA,43502,24539,373548910,15223,219,1314,10891,571,7500,58456500,5306,47705000,1123,1096,47,1049,410838150,9242,8199,414,7785,43479,24523,373224900,15219,23,16,324010,20251,23,16,324010,20251
2025,40,2025-09-29,CENTRAL,61443,21620,1021871035,47265,350,1958,18056,3147,18620,153906700,23643,148187900,2318,1913,185,1728,1074908655,12115,8363,1092,7271,58737,20098,826560000,41126,2706,1522,195311035,128325,2480,1304,60498485,46395
2025,40,2025-09-29,ITAPUA,46686,25403,387460390,15253,236,1444,13372,524,7387,58327200,5516,45303000,1106,1079,38,1041,426336130,9665,8537,485,8052,46660,25380,387103800,15252,26,23,356590,15504,26,23,356590,15504
2025,39,2025-09-22,CENTRAL,53954,30346,979655149,32283,285,1595,16738,1575,5295,140540200,16067,134029500,2567,2112,193,1919,1070564180,11429,8897,1071,7826,51073,28552,817081000,28617,2881,1794,162574149,90621,2630,1549,65210948,42099
2025,39,2025-09-22,ITAPUA,39579,25703,429767450,16721,208,1249,11250,277,2349,54810900,4249,41021500,1138,1103,40,1063,473216588,9090,8271,447,7824,39514,25656,429172400,16728,65,47,595050,12661,65,47,595050,12661
2025,38,2025-09-15,CENTRAL,58866,30368,845909735,27855,292,1650,17884,1814,8800,143963200,19829,138716700,2454,2045,152,1893,951169316,11585,8909,1087,7822,55262,28277,703732900,24887,3604,2091,142176835,67995,3279,1807,78582534,43488
2025,38,2025-09-15,ITAPUA,40242,27597,447949000,16232,183,1080,10715,204,1726,58898700,4463,44850900,1148,1113,43,1070,493284300,9323,8643,452,8191,40228,27589,447765600,16230,14,8,183400,22925,14,8,183400,22925
2025,37,2025-09-08,CENTRAL,54831,33614,945526066,28129,271,1488,17777,1009,2431,155086400,16781,149727500,2810,2391,214,2177,1087742311,11624,9503,1130,8373,51772,31695,821466900,25918,3059,1919,124059166,64648,2632,1584,68197706,43054
2025,37,2025-09-08,ITAPUA,43259,28756,522775620,18180,196,1149,11795,271,2436,58464200,4703,45007500,1174,1138,46,1092,575500200,9445,8717,512,8205,43237,28737,522324800,18176,22,19,450820,23727,22,19,450820,23727
2025,36,2025-09-01,CENTRAL,70621,38255,804775576,21037,264,1431,20372,1500,10494,164960000,19956,158531600,2957,2551,270,2281,921320001,13387,10783,2016,8767,67967,36656,703671600,19197,2654,1599,101103976,63230,2394,1398,44478696,31816
2025,36,2025-09-01,ITAPUA,53267,30349,474313460,15629,215,1309,12640,930,9348,53312100,4844,41247700,1126,1100,41,1059,522015260,10173,9246,559,8687,53258,30343,474145600,15626,9,6,167860,27977,9,6,167860,27977
2025,35,2025-08-25,CENTRAL,50638,30949,579880147,18737,237,1321,16746,932,2011,135949700,12989,128917400,3064,2618,332,2286,653752784,11343,9633,1938,7695,47987,29144,477740100,16392,2651,1805,102140047,56587,2430,1613,50887686,31548
2025,35,2025-08-25,ITAPUA,42762,30278,454231920,15002,186,1118,10148,303,2032,47057200,3686,35900400,1122,1097,42,1055,500270210,9416,8811,644,8167,42734,30259,453810800,14998,28,19,421120,22164,28,19,421120,22164
2025,34,2025-08-18,CENTRAL,37377,20286,422538876,20829,276,1549,15685,926,480,120223600,12032,114182500,3351,2844,622,2222,442302984,10221,8571,2089,6482,34377,18406,296221100,16094,3000,1880,126317776,67190,2754,1645,52138851,31695
2025,34,2025-08-18,ITAPUA,39209,26436,400977640,15168,189,1108,11089,193,1490,47269900,3656,36557400,1116,1091,45,1046,441418960,9022,8408,487,7921,39193,26425,400712400,15164,16,11,265240,24113,16,11,265240,24113
2025,33,2025-08-11,CENTRAL,76005,42556,703947480,16542,169,1006,33044,237,165,146632500,13027,139632300,2858,2493,595,1898,805151937,13222,12089,6645,5444,73441,40841,599950900,14690,2564,1715,103996580,60639,2254,1430,41770772,29210
2025,33,2025-08-11,ITAPUA,45513,31125,456469330,14666,177,1051,12363,249,1775,47215400,3779,36156300,1074,1056,37,1019,502355390,9213,8631,500,8131,45486,31105,456101600,14663,27,20,367730,18387,27,20,367730,18387
2025,32,2025-08-04,CENTRAL,28741,17877,352651952,19727,210,1137,10304,433,126,110893000,9029,107296800,1907,1618,396,1222,326387932,6633,5806,2593,3213,25989,15976,250878800,15703,2752,1901,101773152,53537,2538,1694,55306381,32648
